           x [mm]           y [mm]           z [mm]       SAR [W/kg]
              103                4               75                0
              108                4               75                0
              113                4               75                0
              118                4               75                0
              123                4               75                0
             -127                9               75                0
             -122                9               75                0
             -117                9               75                0
             -112                9               75                0
             -107                9               75                0
             -102                9               75                0
              -97                9               75                0
              -92                9               75                0
              -87                9               75                0
              -82                9               75                0
              -77                9               75                0
              -72                9               75       0.13104919
              -67                9               75       0.14680248
              -62                9               75       0.11367067
              -57                9               75       0.15098998
              -52                9               75       0.19384994
              -47                9               75       0.23045586
              -42                9               75       0.22473305
              -37                9               75       0.20089784
              -32                9               75       0.17382525
              -27                9               75       0.14013705
              -22                9               75       0.11062095
              -17                9               75      0.087745011
              -12                9               75      0.069848537
               -7                9               75      0.054905042
               -2                9               75       0.04552079
                3                9               75      0.043565255
                8                9               75       0.05063162
               13                9               75       0.06359674
               18                9               75      0.080302611
               23                9               75      0.098774359
               28                9               75       0.12421744
               33                9               75        0.1541422
               38                9               75       0.17780277
               43                9               75        0.1981447
               48                9               75       0.21440089
               53                9               75       0.23126847
               58                9               75       0.20136519
               63                9               75        0.1572251
               68                9               75       0.12162903
               73                9               75        0.1556548
               78                9               75       0.11498956
               83                9               75                0
               88                9               75                0
               93                9               75                0
               98                9               75                0
              103                9               75                0
              108                9               75                0
              113                9               75                0
              118                9               75                0
              123                9               75                0
             -127               14               75                0
             -122               14               75                0
             -117               14               75                0
             -112               14               75                0
             -107               14               75                0
             -102               14               75                0
              -97               14               75                0
              -92               14               75                0
              -87               14               75                0
              -82               14               75                0
              -77               14               75                0
              -72               14               75       0.11776603
              -67               14               75       0.15586752
              -62               14               75       0.10991421
              -57               14               75       0.14840767
              -52               14               75       0.18960378
              -47               14               75       0.22805037
              -42               14               75       0.23254672
              -37               14               75       0.20326564
              -32               14               75       0.17310867
              -27               14               75       0.13803934
              -22               14               75       0.10818083
              -17               14               75      0.085238665
              -12               14               75      0.067367859
               -7               14               75      0.052378051
               -2               14               75      0.043385126
                3               14               75      0.041820601
                8               14               75      0.048611615
               13               14               75      0.061719872
               18               14               75      0.078595482
               23               14               75      0.096663997
               28               14               75       0.12273636
               33               14               75       0.15414621
               38               14               75       0.17911136
               43               14               75       0.19968972
               48               14               75       0.21759015
               53               14               75       0.22267324
               58               14               75       0.19166124
               63               14               75         0.150923
               68               14               75       0.11622886
               73               14               75        0.1556548
               78               14               75       0.11447348
               83               14               75                0
               88               14               75                0
               93               14               75                0
               98               14               75                0
              103               14               75                0
              108               14               75                0
              113               14               75                0
              118               14               75                0
              123               14               75                0
             -127               19               75                0
             -122               19               75                0
             -117               19               75                0
             -112               19               75                0
             -107               19               75                0
             -102               19               75                0
              -97               19               75                0
              -92               19               75                0
              -87               19               75                0
              -82               19               75                0
              -77               19               75                0
              -72               19               75       0.10677013
              -67               19               75        0.1451994
              -62               19               75       0.10224571
              -57               19               75       0.14410156
              -52               19               75       0.18374975
              -47               19               75       0.22960545
              -42               19               75       0.24443851
              -37               19               75       0.20470817
              -32               19               75       0.17259979
              -27               19               75        0.1372021
              -22               19               75        0.1062354
              -17               19               75      0.082572415
              -12               19               75      0.065041997
               -7               19               75      0.050285708
               -2               19               75      0.041809428
                3               19               75      0.040564626
                8               19               75      0.046724916
               13               19               75      0.059393093
               18               19               75      0.075935632
               23               19               75      0.094408646
               28               19               75        0.1213374
               33               19               75        0.1553133
               38               19               75       0.18317074
               43               19               75       0.20477362
               48               19               75       0.22490048
               53               19               75       0.21687336
               58               19               75        0.1809219
               63               19               75       0.14406149
               68               19               75       0.11469035
               73               19               75       0.15249152
               78               19               75       0.11324159
               83               19               75                0
               88               19               75                0
               93               19               75                0
               98               19               75                0
              103               19               75                0
              108               19               75                0
              113               19               75                0
              118               19               75                0
              123               19               75                0
             -127               24               75                0
             -122               24               75                0
             -117               24               75                0
             -112               24               75                0
             -107               24               75                0
             -102               24               75                0
              -97               24               75                0
              -92               24               75                0
              -87               24               75                0
              -82               24               75                0
              -77               24               75                0
              -72               24               75                0
              -67               24               75       0.13991483
              -62               24               75      0.099338211
              -57               24               75       0.13168807
              -52               24               75       0.17086519
              -47               24               75       0.21847984
              -42               24               75       0.24349372
              -37               24               75       0.20658451
              -32               24               75       0.16989377
              -27               24               75       0.13525729
              -22               24               75       0.10472903
              -17               24               75      0.079601489
              -12               24               75      0.062255703
               -7               24               75      0.048067201
               -2               24               75      0.039841175
                3               24               75      0.038735222
                8               24               75      0.044821411
               13               24               75      0.057134617
               18               24               75      0.073030919
               23               24               75      0.092072971
               28               24               75       0.11905172
               33               24               75        0.1539326
               38               24               75       0.18377402
               43               24               75       0.20628256
               48               24               75       0.23099656
               53               24               75       0.21362796
               58               24               75       0.17233555
               63               24               75       0.13839149
               68               24               75       0.13593495
               73               24               75        0.1431278
               78               24               75                0
               83               24               75                0
               88               24               75                0
               93               24               75                0
               98               24               75                0
              103               24               75                0
              108               24               75                0
              113               24               75                0
              118               24               75                0
              123               24               75                0
             -127               29               75                0
             -122               29               75                0
             -117               29               75                0
             -112               29               75                0
             -107               29               75                0
             -102               29               75                0
              -97               29               75                0
              -92               29               75                0
              -87               29               75                0
              -82               29               75                0
              -77               29               75                0
              -72               29               75                0
              -67               29               75       0.13152117
              -62               29               75       0.13980621
              -57               29               75        0.1231795
              -52               29               75       0.16217844
              -47               29               75        0.2043823
              -42               29               75       0.23092878
              -37               29               75       0.20452181
              -32               29               75       0.16406547
              -27               29               75       0.13088502
              -22               29               75       0.10137663
              -17               29               75      0.075651258
              -12               29               75      0.058248125
               -7               29               75      0.044512302
               -2               29               75      0.036041263
                3               29               75      0.034825593
                8               29               75      0.041155513
               13               29               75      0.053439014
               18               29               75       0.06928426
               23               29               75       0.08922603
               28               29               75       0.11556457
               33               29               75       0.14961278
               38               29               75       0.18095553
               43               29               75       0.20646575
               48               29               75       0.23302904
               53               29               75        0.2135585
               58               29               75       0.17101263
               63               29               75         0.141513
               68               29               75       0.15875332
               73               29               75       0.14218484
               78               29               75                0
               83               29               75                0
               88               29               75                0
               93               29               75                0
               98               29               75                0
              103               29               75                0
              108               29               75                0
              113               29               75                0
              118               29               75                0
              123               29               75                0
             -127               34               75                0
             -122               34               75                0
             -117               34               75                0
             -112               34               75                0
             -107               34               75                0
             -102               34               75                0
              -97               34               75                0
              -92               34               75                0
              -87               34               75                0
              -82               34               75                0
              -77               34               75                0
              -72               34               75                0
              -67               34               75       0.11659691
              -62               34               75       0.15971839
              -57               34               75       0.11927354
              -52               34               75        0.1556482
              -47               34               75       0.18937916
              -42               34               75       0.21105629
              -37               34               75       0.19483787
              -32               34               75       0.15485142
              -27               34               75        0.1226477
              -22               34               75      0.094942071
              -17               34               75      0.069709435
              -12               34               75      0.052184913
               -7               34               75      0.039063238
               -2               34               75      0.030522786
                3               34               75      0.029037001
                8               34               75      0.035560265
               13               34               75      0.047623526
               18               34               75      0.063264206
               23               34               75      0.084063709
               28               34               75        0.1095027
               33               34               75       0.14202103
               38               34               75       0.17383906
               43               34               75       0.19977657
               48               34               75       0.21845827
               53               34               75       0.20348167
               58               34               75       0.16745611
               63               34               75       0.14030199
               68               34               75       0.17093527
               73               34               75       0.14169672
               78               34               75                0
               83               34               75                0
               88               34               75                0
               93               34               75                0
               98               34               75                0
              103               34               75                0
              108               34               75                0
              113               34               75                0
              118               34               75                0
              123               34               75                0
             -127               39               75                0
             -122               39               75                0
             -117               39               75                0
             -112               39               75                0
             -107               39               75                0
             -102               39               75                0
              -97               39               75                0
              -92               39               75                0
              -87               39               75                0
              -82               39               75                0
              -77               39               75                0
              -72               39               75                0
              -67               39               75       0.11847097
              -62               39               75       0.15803066
              -57               39               75       0.10570543
              -52               39               75       0.13281105
              -47               39               75        0.1592018
              -42               39               75       0.18265003
              -37               39               75       0.17889732
              -32               39               75       0.14127475
              -27               39               75       0.11127292
              -22               39               75      0.086355098
              -17               39               75      0.062541634
              -12               39               75      0.045619696
               -7               39               75      0.033490479
               -2               39               75      0.025348987
                3               39               75      0.023773909
                8               39               75      0.029979819
               13               39               75      0.041296728
               18               39               75       0.05617781
               23               39               75      0.076412179
               28               39               75       0.10040875
               33               39               75       0.12997092
               38               39               75       0.16121635
               43               39               75       0.18775326
               48               39               75       0.19627814
               53               39               75       0.18170115
               58               39               75       0.15102996
               63               39               75       0.12605719
               68               39               75       0.17089745
               73               39               75       0.14250532
               78               39               75                0
               83               39               75                0
               88               39               75                0
               93               39               75                0
               98               39               75                0
              103               39               75                0
              108               39               75                0
              113               39               75                0
              118               39               75                0
              123               39               75                0
             -127               44               75                0
             -122               44               75                0
             -117               44               75                0
             -112               44               75                0
             -107               44               75                0
             -102               44               75                0
              -97               44               75                0
              -92               44               75                0
              -87               44               75                0
              -82               44               75                0
              -77               44               75                0
              -72               44               75                0
              -67               44               75                0
              -62               44               75       0.14547183
              -57               44               75       0.12772021
              -52               44               75       0.12387191
              -47               44               75       0.14279033
              -42               44               75       0.16207676
              -37               44               75       0.16168219
              -32               44               75       0.12755656
              -27               44               75      0.098380074
              -22               44               75      0.075343683
              -17               44               75       0.05439214
              -12               44               75       0.03883671
               -7               44               75      0.027885679
               -2               44               75      0.020559736
                3               44               75      0.019118976
                8               44               75      0.024645276
               13               44               75      0.034936316
               18               44               75       0.04885757
               23               44               75      0.067613766
               28               44               75       0.08950872
               33               44               75       0.11499287
               38               44               75       0.14470819
               43               44               75       0.17356826
               48               44               75       0.17860599
               53               44               75       0.16541174
               58               44               75       0.14392723
               63               44               75       0.16062881
               68               44               75        0.1630898
               73               44               75                0
               78               44               75                0
               83               44               75                0
               88               44               75                0
               93               44               75                0
               98               44               75                0
              103               44               75                0
              108               44               75                0
              113               44               75                0
              118               44               75                0
              123               44               75                0
             -127               49               75                0
             -122               49               75                0
             -117               49               75                0
             -112               49               75                0
             -107               49               75                0
             -102               49               75                0
              -97               49               75                0
              -92               49               75                0
              -87               49               75                0
              -82               49               75                0
              -77               49               75                0
              -72               49               75                0
              -67               49               75                0
              -62               49               75        0.1273721
              -57               49               75       0.14170714
              -52               49               75       0.11932234
              -47               49               75       0.13371651
              -42               49               75       0.14483063
              -37               49               75       0.14030899
              -32               49               75       0.11699517
              -27               49               75      0.087972045
              -22               49               75      0.066096768
              -17               49               75      0.047561869
              -12               49               75      0.033302963
               -7               49               75      0.023231635
               -2               49               75      0.017002115
                3               49               75      0.015699863
                8               49               75      0.020175707
               13               49               75      0.029178057
               18               49               75      0.041717097
               23               49               75       0.05851984
               28               49               75      0.078313038
               33               49               75       0.10059443
               38               49               75       0.12955457
               43               49               75       0.15900744
               48               49               75       0.16337451
               53               49               75       0.15244684
               58               49               75       0.13851045
               63               49               75       0.17645587
               68               49               75       0.15187472
               73               49               75                0
               78               49               75                0
               83               49               75                0
               88               49               75                0
               93               49               75                0
               98               49               75                0
              103               49               75                0
              108               49               75                0
              113               49               75                0
              118               49               75                0
              123               49               75                0
             -127               54               75                0
             -122               54               75                0
             -117               54               75                0
             -112               54               75                0
             -107               54               75                0
             -102               54               75                0
              -97               54               75                0
              -92               54               75                0
              -87               54               75                0
              -82               54               75                0
              -77               54               75                0
              -72               54               75                0
              -67               54               75                0
              -62               54               75       0.12706926
              -57               54               75       0.14780885
              -52               54               75        0.1052648
              -47               54               75       0.11891374
              -42               54               75        0.1279126
              -37               54               75       0.12347545
              -32               54               75       0.10663722
              -27               54               75      0.079162478
              -22               54               75      0.059400737
              -17               54               75      0.042684332
              -12               54               75      0.030480804
               -7               54               75      0.021357212
               -2               54               75      0.015719261
                3               54               75      0.014490175
                8               54               75      0.017942391
               13               54               75      0.025648957
               18               54               75      0.036531761
               23               54               75      0.050824385
               28               54               75      0.068540469
               33               54               75      0.089315206
               38               54               75       0.11809863
               43               54               75       0.14347073
               48               54               75        0.1480954
               53               54               75       0.14009997
               58               54               75       0.13358353
               63               54               75       0.17386788
               68               54               75       0.15175122
               73               54               75                0
               78               54               75                0
               83               54               75                0
               88               54               75                0
               93               54               75                0
               98               54               75                0
              103               54               75                0
              108               54               75                0
              113               54               75                0
              118               54               75                0
              123               54               75                0
             -127               59               75                0
             -122               59               75                0
             -117               59               75                0
             -112               59               75                0
             -107               59               75                0
             -102               59               75                0
              -97               59               75                0
              -92               59               75                0
              -87               59               75                0
              -82               59               75                0
              -77               59               75                0
              -72               59               75                0
              -67               59               75                0
              -62               59               75                0
              -57               59               75       0.13151129
              -52               59               75       0.11886697
              -47               59               75       0.11207893
              -42               59               75       0.11742263
              -37               59               75       0.11343571
              -32               59               75      0.097718835
              -27               59               75      0.073442467
              -22               59               75      0.055383943
              -17               59               75      0.039872456
              -12               59               75      0.029067142
               -7               59               75      0.021055019
               -2               59               75      0.016026417
                3               59               75      0.014870957
                8               59               75      0.017645096
               13               59               75      0.024197401
               18               59               75      0.033608399
               23               59               75       0.04606704
               28               59               75      0.062456623
               33               59               75      0.082763769
               38               59               75       0.10854742
               43               59               75       0.13158941
               48               59               75       0.13912262
               53               59               75       0.13858671
               58               59               75        0.1512364
               63               59               75       0.15260273
               68               59               75                0
               73               59               75                0
               78               59               75                0
               83               59               75                0
               88               59               75                0
               93               59               75                0
               98               59               75                0
              103               59               75                0
              108               59               75                0
              113               59               75                0
              118               59               75                0
              123               59               75                0
             -127               64               75                0
             -122               64               75                0
             -117               64               75                0
             -112               64               75                0
             -107               64               75                0
             -102               64               75                0
              -97               64               75                0
              -92               64               75                0
              -87               64               75                0
              -82               64               75                0
              -77               64               75                0
              -72               64               75                0
              -67               64               75                0
              -62               64               75                0
              -57               64               75       0.11833645
              -52               64               75       0.12702838
              -47               64               75      0.099539235
              -42               64               75       0.10255791
              -37               64               75       0.10207968
              -32               64               75      0.089447677
              -27               64               75      0.070763923
              -22               64               75      0.054695155
              -17               64               75      0.038843028
              -12               64               75      0.027917875
               -7               64               75      0.020848708
               -2               64               75      0.016463004
                3               64               75      0.015456328
                8               64               75      0.017930167
               13               64               75      0.023679571
               18               64               75      0.031838082
               23               64               75      0.044463791
               28               64               75      0.062291745
               33               64               75      0.080562472
               38               64               75      0.099517681
               43               64               75       0.11667782
               48               64               75       0.12234925
               53               64               75       0.12940958
               58               64               75       0.14606997
               63               64               75       0.14107858
               68               64               75                0
               73               64               75                0
               78               64               75                0
               83               64               75                0
               88               64               75                0
               93               64               75                0
               98               64               75                0
              103               64               75                0
              108               64               75                0
              113               64               75                0
              118               64               75                0
              123               64               75                0
             -127               69               75                0
             -122               69               75                0
             -117               69               75                0
             -112               69               75                0
             -107               69               75                0
             -102               69               75                0
              -97               69               75                0
              -92               69               75                0
              -87               69               75                0
              -82               69               75                0
              -77               69               75                0
              -72               69               75                0
              -67               69               75                0
              -62               69               75                0
              -57               69               75       0.11235935
              -52               69               75        0.1162134
              -47               69               75       0.09444762
              -42               69               75      0.088920265
              -37               69               75      0.088358939
              -32               69               75      0.077043161
              -27               69               75      0.064518154
              -22               69               75      0.052142218
              -17               69               75      0.037840255
              -12               69               75       0.02724193
               -7               69               75      0.020814128
               -2               69               75      0.016887365
                3               69               75      0.016120164
                8               69               75      0.018488746
               13               69               75        0.0235742
               18               69               75      0.030557249
               23               69               75      0.042845607
               28               69               75      0.060665116
               33               69               75      0.075818971
               38               69               75      0.089108944
               43               69               75       0.10078831
               48               69               75       0.10234757
